Year,Family,Genus,Reported.Taxon,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.Type
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1270,kg,HK,LK,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,245,kg,HK,ID,,T,W,I
2022,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,900,kg,HK,LK,,T,W,E
2022,Lamnidae,Isurus,Isurus oxyrinchus,200,kg,HK,LK,,T,W,E
2022,Sphyrnidae,Sphyrna,Sphyrna lewini,200,kg,HK,LK,,T,W,E
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,23000,kg,MX,CR,,T,W,I
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,422.04,kg,HK,SV,,T,W,E
2019,Sphyrnidae,Sphyrna,Sphyrna lewini,320,kg,HK,SV,,T,W,E
2018,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,75,kg,HK,LK,,T,W,E
2016,Sphyrnidae,Sphyrna,Sphyrna lewini,687.66,kg,HK,SV,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,9920,kg,TW,JP,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,15000,kg,TW,JP,,T,W,E
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,1738,kg,HK,MX,,T,W,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,815.9,kg,SG,NAM,,T,W,I
2018,Alopiidae,Alopias,Alopias pelagicus,1300,kg,PE,EC,,T,O,E
2018,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,150,kg,PE,EC,,T,O,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,698,kg,ES,MA,,T,W,I
2018,Sphyrnidae,Sphyrna,Sphyrna zygaena,742,kg,CN,MX,,T,W,E
2015,Sphyrnidae,Sphyrna,Sphyrna zygaena,876,kg,HK,MX,,T,W,I
2019,Alopiidae,Alopias,Alopias spp.,53.04,kg,HK,SV,,T,W,E
2019,Sphyrnidae,Sphyrna,Sphyrna lewini,16,kg,HK,SV,,T,W,E
2022,Alopiidae,Alopias,Alopias vulpinus,5334.3,kg,US,NI,,T,W,E
2018,Alopiidae,Alopias,Alopias pelagicus,5296,kg,PE,EC,,T,W,E
2018,Alopiidae,Alopias,Alopias superciliosus,143,kg,PE,EC,,T,W,E
2018,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,920,kg,PE,EC,,T,W,E
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,254.43,kg,HK,MX,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,508,kg,HK,ID,,T,W,I
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,950,kg,HK,LK,,T,W,E
2020,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,350,kg,HK,LK,,T,W,I
2017,Sphyrnidae,Sphyrna,Sphyrna zygaena,395,kg,HK,PE,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,3000,kg,HK,LK,,T,W,E
2021,Lamnidae,Isurus,Isurus oxyrinchus,500,kg,HK,LK,,T,W,E
2021,Sphyrnidae,Sphyrna,Sphyrna zygaena,500,kg,HK,LK,,T,W,E
2019,Sphyrnidae,Sphyrna,Sphyrna zygaena,40,kg,CN,SN,,T,W,E
2019,Myliobatidae,Mobula,Mobula japanica,150,kg,HK,LK,,T,W,E
2019,Myliobatidae,Mobula,Mobula tarapacana,275,kg,HK,LK,,T,W,E
2016,Sphyrnidae,Sphyrna,Sphyrna zygaena,766,kg,HK,MX,,T,W,E
2021,Alopiidae,Alopias,Alopias vulpinus,486,kg,HK,YE,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,366,kg,HK,YE,,T,W,I
2021,Carcharhinidae,Carcharhinus,Carcharhinus longimanus,265,kg,HK,YE,,T,W,I
2021,Sphyrnidae,Sphyrna,Sphyrna lewini,1200,kg,HK,YE,,T,W,I
2021,Lamnidae,Isurus,Isurus oxyrinchus,3731,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,168,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,1931,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,955,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,424,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,1517,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,3791,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,376,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,374,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,266,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,709,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,935,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,748,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,187,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,128,kg,KR,TW,,T,W,I
2020,Lamnidae,Isurus,Isurus oxyrinchus,561,kg,KR,TW,,T,W,I
2019,Alopiidae,Alopias,Alopias pelagicus,336.4,kg,HK,CR,,,,E
2019,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1196.45,kg,HK,CR,,,,E
2020,Lamnidae,Isurus,Isurus oxyrinchus,320.4,kg,IT,SN,,T,W,E
2022,Myliobatidae,Mobula,Mobula japanica,450,kg,HK,LK,,T,W,E
2022,Myliobatidae,Mobula,Mobula spp.,150,kg,HK,LK,,T,W,E
